                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94701,                0.73858,                      1,                 1.0543,             0.00023679,             0.00023679,             0.00023679
                      2,                0.59269,                0.77919,                      1,                0.98691,             0.00046539,             0.00046539,             0.00046539
                      3,                 0.5417,                0.76269,                      1,                0.99109,             0.00068457,             0.00068457,             0.00068457
                      4,                0.51575,                0.78807,                      1,                0.98444,             0.00067159,             0.00067159,             0.00067159
                      5,                0.48563,                0.78173,                      1,                0.96932,             0.00067159,             0.00067159,             0.00067159
                      6,                0.47483,                0.79315,                      1,                0.96441,             0.00065745,             0.00065745,             0.00065745
                      7,                0.44989,                0.78173,                      1,                0.96753,             0.00064331,             0.00064331,             0.00064331
                      8,                0.42911,                0.79442,                      1,                0.96109,             0.00062918,             0.00062918,             0.00062918
                      9,                0.40742,                0.78807,                      1,                0.96564,             0.00061504,             0.00061504,             0.00061504
                     10,                0.40636,                 0.7868,                      1,                0.96893,              0.0006009,              0.0006009,              0.0006009
                     11,                 0.3933,                0.78299,                      1,                0.96895,             0.00058677,             0.00058677,             0.00058677
                     12,                0.37985,                0.78426,                      1,                0.96014,             0.00057263,             0.00057263,             0.00057263
                     13,                0.38084,                0.79188,                      1,                0.96211,             0.00055849,             0.00055849,             0.00055849
                     14,                0.36224,                0.78426,                      1,                0.96109,             0.00054435,             0.00054435,             0.00054435
                     15,                0.35645,                0.77665,                      1,                0.96461,             0.00053022,             0.00053022,             0.00053022
                     16,                0.34893,                0.78046,                      1,                0.95968,             0.00051608,             0.00051608,             0.00051608
                     17,                0.34112,                0.79442,                      1,                0.95574,             0.00050194,             0.00050194,             0.00050194
                     18,                0.34025,                0.78553,                      1,                0.95799,              0.0004878,              0.0004878,              0.0004878
                     19,                0.32905,                 0.7703,                      1,                0.96241,             0.00047367,             0.00047367,             0.00047367
                     20,                0.32957,                0.77538,                      1,                0.96049,             0.00045953,             0.00045953,             0.00045953
                     21,                0.31203,                0.77665,                      1,                0.96043,             0.00044539,             0.00044539,             0.00044539
                     22,                0.31753,                0.79061,                      1,                 0.9559,             0.00043126,             0.00043126,             0.00043126
                     23,                0.31129,                0.77792,                      1,                0.96271,             0.00041712,             0.00041712,             0.00041712
                     24,                0.29716,                0.76015,                      1,                0.96781,             0.00040298,             0.00040298,             0.00040298
                     25,                0.29629,                 0.7703,                      1,                0.95951,             0.00038884,             0.00038884,             0.00038884
                     26,                0.28902,                0.78173,                      1,                0.95956,             0.00037471,             0.00037471,             0.00037471
                     27,                 0.2817,                0.77538,                      1,                0.96041,             0.00036057,             0.00036057,             0.00036057
                     28,                0.27735,                 0.7665,                      1,                0.95835,             0.00034643,             0.00034643,             0.00034643
                     29,                0.27859,                0.76015,                      1,                0.96492,              0.0003323,              0.0003323,              0.0003323
                     30,                0.27094,                0.76904,                      1,                0.96415,             0.00031816,             0.00031816,             0.00031816
                     31,                0.27166,                0.77538,                      1,                0.96497,             0.00030402,             0.00030402,             0.00030402
                     32,                0.27236,                 0.7665,                      1,                0.96818,             0.00028988,             0.00028988,             0.00028988
                     33,                0.26695,                0.77792,                      1,                0.95774,             0.00027575,             0.00027575,             0.00027575
                     34,                0.26875,                 0.7703,                      1,                0.95893,             0.00026161,             0.00026161,             0.00026161
                     35,                0.24954,                0.76777,                      1,                0.96282,             0.00024747,             0.00024747,             0.00024747
                     36,                0.23724,                0.77411,                      1,                0.96018,             0.00023334,             0.00023334,             0.00023334
                     37,                0.24165,                0.77284,                      1,                0.95946,              0.0002192,              0.0002192,              0.0002192
                     38,                0.24068,                0.77538,                      1,                0.96141,             0.00020506,             0.00020506,             0.00020506
                     39,                 0.2551,                0.76777,                      1,                 0.9634,             0.00019092,             0.00019092,             0.00019092
                     40,                0.23399,                0.77411,                      1,                0.96028,             0.00017679,             0.00017679,             0.00017679
                     41,                0.22865,                0.76904,                      1,                0.96325,             0.00016265,             0.00016265,             0.00016265
                     42,                0.24291,                0.76777,                      1,                0.96305,             0.00014851,             0.00014851,             0.00014851
                     43,                 0.2327,                0.76904,                      1,                0.96106,             0.00013437,             0.00013437,             0.00013437
                     44,                 0.2379,                0.77411,                      1,                0.95854,             0.00012024,             0.00012024,             0.00012024
                     45,                0.23336,                0.77157,                      1,                0.95868,              0.0001061,              0.0001061,              0.0001061
                     46,                0.22132,                0.76777,                      1,                0.96241,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.21978,                0.76777,                      1,                0.95873,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.22692,                0.77665,                      1,                0.95889,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.21986,                0.77157,                      1,                 0.9618,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.22196,                 0.7703,                      1,                0.96122,             3.5414e-05,             3.5414e-05,             3.5414e-05
