                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51961,                0.90805,                      1,                0.85712,             0.00023754,             0.00023754,             0.00023754
                      2,                0.43373,                0.90517,                      1,                 0.8597,             0.00046613,             0.00046613,             0.00046613
                      3,                0.40948,                 0.8908,                      1,                0.88379,             0.00068529,             0.00068529,             0.00068529
                      4,                0.40097,                0.87356,                      1,                0.88995,             0.00067159,             0.00067159,             0.00067159
                      5,                0.36793,                0.89655,                      1,                0.87787,             0.00067159,             0.00067159,             0.00067159
                      6,                0.34304,                0.85345,                      1,                0.89685,             0.00065745,             0.00065745,             0.00065745
                      7,                  0.338,                0.87931,                      1,                0.87841,             0.00064331,             0.00064331,             0.00064331
                      8,                0.31395,                 0.8592,                      1,                 0.8846,             0.00062918,             0.00062918,             0.00062918
                      9,                0.30225,                0.86494,                      1,                0.88502,             0.00061504,             0.00061504,             0.00061504
                     10,                0.28233,                0.87644,                      1,                0.87919,              0.0006009,              0.0006009,              0.0006009
                     11,                0.28337,                0.87069,                      1,                0.88292,             0.00058677,             0.00058677,             0.00058677
                     12,                 0.2683,                0.88506,                      1,                0.87851,             0.00057263,             0.00057263,             0.00057263
                     13,                0.25302,                 0.8592,                      1,                0.88599,             0.00055849,             0.00055849,             0.00055849
                     14,                0.25354,                0.86494,                      1,                0.88448,             0.00054435,             0.00054435,             0.00054435
                     15,                0.24075,                0.87356,                      1,                0.87736,             0.00053022,             0.00053022,             0.00053022
                     16,                0.22637,                0.86207,                      1,                0.88388,             0.00051608,             0.00051608,             0.00051608
                     17,                0.20966,                0.83621,                      1,                0.89975,             0.00050194,             0.00050194,             0.00050194
                     18,                0.20127,                0.87356,                      1,                0.88307,              0.0004878,              0.0004878,              0.0004878
                     19,                0.19686,                0.86207,                      1,                0.88598,             0.00047367,             0.00047367,             0.00047367
                     20,                0.20223,                0.87069,                      1,                0.87769,             0.00045953,             0.00045953,             0.00045953
                     21,                0.18473,                0.88218,                      1,                0.87811,             0.00044539,             0.00044539,             0.00044539
                     22,                0.17659,                0.88218,                      1,                0.87068,             0.00043126,             0.00043126,             0.00043126
                     23,                0.16841,                0.85632,                      1,                 0.8846,             0.00041712,             0.00041712,             0.00041712
                     24,                0.17048,                0.87069,                      1,                0.87167,             0.00040298,             0.00040298,             0.00040298
                     25,                0.16249,                0.87069,                      1,                0.88188,             0.00038884,             0.00038884,             0.00038884
                     26,                0.15049,                0.88793,                      1,                0.86333,             0.00037471,             0.00037471,             0.00037471
                     27,                0.14894,                0.86494,                      1,                0.87391,             0.00036057,             0.00036057,             0.00036057
                     28,                 0.1499,                0.86782,                      1,                0.87576,             0.00034643,             0.00034643,             0.00034643
                     29,                0.14853,                 0.8592,                      1,                0.87844,              0.0003323,              0.0003323,              0.0003323
                     30,                0.13516,                 0.8592,                      1,                0.87058,             0.00031816,             0.00031816,             0.00031816
                     31,                0.14251,                0.86207,                      1,                0.87527,             0.00030402,             0.00030402,             0.00030402
                     32,                0.12488,                0.87356,                      1,                0.87429,             0.00028988,             0.00028988,             0.00028988
                     33,                0.12152,                0.86494,                      1,                0.87177,             0.00027575,             0.00027575,             0.00027575
                     34,                0.11986,                0.87931,                      1,                0.87229,             0.00026161,             0.00026161,             0.00026161
                     35,                 0.1147,                0.88506,                      1,                0.87062,             0.00024747,             0.00024747,             0.00024747
                     36,                0.10901,                0.87356,                      1,                0.86651,             0.00023334,             0.00023334,             0.00023334
                     37,                0.10579,                0.87069,                      1,                0.87348,              0.0002192,              0.0002192,              0.0002192
                     38,                0.10293,                0.87931,                      1,                0.86556,             0.00020506,             0.00020506,             0.00020506
                     39,                0.09994,                0.87356,                      1,                0.86805,             0.00019092,             0.00019092,             0.00019092
                     40,                 0.0961,                0.87931,                      1,                0.87097,             0.00017679,             0.00017679,             0.00017679
                     41,                 0.0996,                0.87069,                      1,                0.87234,             0.00016265,             0.00016265,             0.00016265
                     42,                 0.0965,                0.85345,                      1,                0.87993,             0.00014851,             0.00014851,             0.00014851
                     43,                0.09583,                0.86494,                      1,                0.87435,             0.00013437,             0.00013437,             0.00013437
                     44,                0.09209,                0.86494,                      1,                0.87104,             0.00012024,             0.00012024,             0.00012024
                     45,                0.09171,                0.86494,                      1,                0.87321,              0.0001061,              0.0001061,              0.0001061
                     46,                0.08352,                0.86494,                      1,                0.87626,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.08048,                0.86494,                      1,                0.87394,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.07895,                0.86782,                      1,                0.87248,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.08348,                0.86207,                      1,                0.87266,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.07728,                0.86207,                      1,                0.87461,             3.5414e-05,             3.5414e-05,             3.5414e-05
